UNITID_P,INSTNM,BRANCH,State,Total,arrest_WEAPON20,arrest_DRUG20,arrest_LIQUOR20,arrest_WEAPON21,arrest_DRUG21,arrest_LIQUOR21,arrest_WEAPON22,arrest_DRUG22,arrest_LIQUOR22,arrest_FILTER20,arrest_FILTER21,arrest_FILTER22,crime_MURD20,crime_NEG_M20,crime_RAPE20,crime_FONDL20,crime_INCES20,crime_STATR20,crime_ROBBE20,crime_AGG_A20,crime_BURGLA20,crime_VEHIC20,crime_ARSON20,crime_MURD21,crime_NEG_M21,crime_RAPE21,crime_FONDL21,crime_INCES21,crime_STATR21,crime_ROBBE21,crime_AGG_A21,crime_BURGLA21,crime_VEHIC21,crime_ARSON21,crime_MURD22,crime_NEG_M22,crime_RAPE22,crime_FONDL22,crime_INCES22,crime_STATR22,crime_ROBBE22,crime_AGG_A22,crime_BURGLA22,crime_VEHIC22,crime_ARSON22,crime_FILTER20,crime_FILTER21,crime_FILTER22,discipline_WEAPON20,discipline_DRUG20,discipline_LIQUOR20,discipline_WEAPON21,discipline_DRUG21,discipline_LIQUOR21,discipline_WEAPON22,discipline_DRUG22,discipline_LIQUOR22,discipline_FILTER20,discipline_FILTER21,discipline_FILTER22,vawa_DOMEST20,vawa_DATING20,vawa_STALK20,vawa_DOMEST21,vawa_DATING21,vawa_STALK21,vawa_DOMEST22,vawa_DATING22,vawa_STALK22,vawa_FILTER20,vawa_FILTER21,vawa_FILTER22
100654001,Alabama A & M University,Main Campus,AL,6007,4,9,0,1,7,0,5,8,1,1,1,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,1.0,1.0,2.0,87.0,1.0,3.0,47.0,5.0,11.0,40.0,8.0,1.0,1.0,1.0,4,1,0,2,3,1,16,8,1,1,1,1
100663001,University of Alabama at Birmingham,Main Campus,AL,21639,0,12,0,1,18,0,0,11,0,1,1,1,1.0,0.0,5.0,3.0,0.0,0.0,1.0,8.0,14.0,8.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,1.0,5.0,21.0,7.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,9.0,15.0,21.0,2.0,1.0,1.0,1.0,2.0,26.0,48.0,0.0,20.0,69.0,2.0,26.0,84.0,1.0,1.0,1.0,16,20,10,12,13,12,15,45,22,1,1,1
100663002,University of Alabama at Birmingham,Huntsville Regional Medical Campus,AL,21639,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,2,0,0,1,1,1
100706001,University of Alabama in Huntsville,Main Campus,AL,9237,0,7,0,0,3,0,0,3,0,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,18.0,28.0,1.0,14.0,0.0,0.0,4.0,15.0,1.0,1.0,1.0,0,1,2,0,0,1,0,3,15,1,1,1
100724001,Alabama State University,Main Campus,AL,3828,0,5,0,3,0,0,2,11,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,4,0,0,7,0,0,4,1,0,1,1,1
100751001,The University of Alabama,Main Campus,AL,38644,1,37,0,6,34,2,7,23,4,1,1,1,0.0,0.0,19.0,4.0,0.0,0.0,1.0,1.0,24.0,5.0,2.0,0.0,0.0,31.0,8.0,0.0,0.0,1.0,5.0,23.0,3.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,5.0,11.0,24.0,1.0,1.0,1.0,1.0,1.0,2.0,65.0,1022.0,2.0,49.0,1110.0,7.0,72.0,1163.0,1.0,1.0,1.0,1,18,1,3,21,2,4,24,1,1,1,1
100751002,The University of Alabama,University of Alabama Gadsden Center,AL,38644,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,1,1
100760001,Central Alabama Community College,Alexander City Campus,AL,1777,0,0,0,0,2,1,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,1,1,1
100760002,Central Alabama Community College,Childersburg Campus,AL,1777,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,1,1
100760003,Central Alabama Community College,Talladega Campus,AL,1777,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,1,1
