INSTNM,combined_pred
Alabama A & M University,1.0
University of Kentucky,1.0
University of Northern Iowa,1.0
Saint Ambrose University,1.0
Hutchinson Community College,1.0
Kansas State University,1.0
Pittsburg State University,1.0
Southwestern College,1.0
Ouachita Baptist University,1.0
Bluegrass Community and Technical College,1.0
Eastern Kentucky University,1.0
University of Louisville,1.0
Drake University,1.0
University of Louisville,1.0
Murray State University,1.0
Transylvania University,1.0
Western Kentucky University,1.0
Centenary College of Louisiana,1.0
Grambling State University,1.0
Louisiana Tech University,1.0
