INSTNM,combined_pred
College of Marin,1.0
Indiana University-Purdue University-Indianapolis,1.0
University of Connecticut,1.0
Eastern Connecticut State University,1.0
Purdue University Fort Wayne,1.0
California Polytechnic State University-San Luis Obispo,1.0
Grand Valley State University,1.0
Indiana University-Purdue University-Indianapolis,1.0
Eastern Michigan University,1.0
Alma College,1.0
Northwestern Michigan College,1.0
University of Delaware,1.0
Indiana University-Purdue University-Indianapolis,1.0
University of Central Florida,1.0
University of Alaska Fairbanks,1.0
Indiana University-Purdue University-Indianapolis,1.0
University of Southern Indiana,1.0
Merrimack College,1.0
Northern Michigan University,1.0
Iowa Lakes Community College,1.0
