INSTNM,combined_pred
Alabama A & M University,1.0
University of Chicago,1.0
Illinois State University,1.0
University of Mississippi,1.0
Santa Rosa Junior College,1.0
University of Illinois Chicago,1.0
University of Mississippi,1.0
Governors State University,1.0
Bradley University,1.0
San Jose State University,1.0
Simpson University,1.0
Brigham Young University-Idaho,1.0
San Bernardino Valley College,1.0
Sonoma State University,1.0
Boise State University,1.0
University of Southern California,1.0
Mississippi Delta Community College,1.0
Loyola University Chicago,1.0
Arkansas Baptist College,1.0
Northwestern University,1.0
