INSTNM,combined_pred
Louisiana Tech University,1.0
Trinity Christian College,1.0
Governors State University,1.0
University of Illinois Chicago,1.0
Illinois State University,1.0
McKendree University,1.0
The College of the Florida Keys,1.0
Florida International University,1.0
Roosevelt University,1.0
St. John's College-Department of Nursing,1.0
Western Illinois University,1.0
Morgan State University,1.0
Butler University,1.0
Florida International University,1.0
Indiana University-Purdue University-Indianapolis,1.0
Indiana University-Purdue University-Indianapolis,1.0
Indiana State University,1.0
Indiana University-Southeast,1.0
Florida Institute of Technology,1.0
AdventHealth University,1.0
