INSTNM,combined_pred
California State University-San Bernardino,1.0
Colorado State University-Fort Collins,1.0
University of California-Davis,1.0
University of California-Berkeley,1.0
Colorado School of Mines,1.0
Georgia State University,1.0
University of Kansas,1.0
California State University-Sacramento,1.0
University of Hartford,1.0
California State University-Northridge,1.0
Emory University,1.0
California State University-Long Beach,1.0
Michigan State University,1.0
Rollins College,1.0
University of Michigan-Ann Arbor,1.0
University of Colorado Boulder,1.0
University of Colorado Denver/Anschutz Medical Campus,1.0
California State University-Fullerton,1.0
Arizona State University Campus Immersion,1.0
Georgia Institute of Technology-Main Campus,1.0
