INSTNM,combined_pred
Alabama A & M University,1.0
Front Range Community College,1.0
University of Maryland Eastern Shore,1.0
California Institute of the Arts,1.0
California State University Maritime Academy,1.0
Tulane University of Louisiana,1.0
Southern University and A & M College,1.0
College of the Canyons,1.0
Northwestern State University of Louisiana,1.0
CET-El Centro,1.0
Salisbury University,1.0
Salisbury University,1.0
Cerritos College,1.0
Nicholls State University,1.0
University of New Orleans,1.0
McNeese State University,1.0
Louisiana Christian University,1.0
Louisiana State University-Eunice,1.0
Chabot College,1.0
Tulane University of Louisiana,1.0
