INSTNM,combined_pred
University of Chicago,1.0
Towson University,1.0
Curry College,1.0
Clark University,1.0
University of Massachusetts-Lowell,1.0
Bridgewater State University,1.0
Boston College,1.0
Massachusetts Institute of Technology,1.0
McDaniel College,1.0
Merrimack College,1.0
Washington College,1.0
Massachusetts College of Liberal Arts,1.0
San Diego State University,1.0
St. John's College,1.0
Northeastern University,1.0
St. Mary's College of Maryland,1.0
Salisbury University,1.0
Stonehill College,1.0
Mount St. Mary's University,1.0
University of Maryland-College Park,1.0
