INSTNM,combined_pred
Indiana University-Purdue University-Indianapolis,0.9999793
University of Minnesota-Twin Cities,0.99996835
San Jose State University,0.5062175
San Diego Miramar College,0.001883187
Tufts University,0.00096962793
College of Southern Idaho,0.00096379104
California State University-Bakersfield,0.00085011666
Butte College,0.00084910507
University of Massachusetts-Boston,0.0007166711
Pima Community College,0.00047212525
Central Lakes College-Brainerd,0.0004259976
Calvin University,0.0003747975
St Catherine University,0.00035351573
Salem State University,0.00033464012
Spring Hill College,0.0003153509
Coastal Alabama Community College,0.00025307495
Ventura College,0.00023716722
University of Southern Maine,0.00016428196
University of Arkansas at Pine Bluff,0.0001640254
Point Loma Nazarene University,0.00013418416
