INSTNM,combined_pred
Indiana University-Purdue University-Indianapolis,1.0
Grambling State University,1.0
University of Arizona,0.9999995
Johns Hopkins University,0.99999905
Metropolitan State University of Denver,0.99999547
University of Colorado Denver/Anschutz Medical Campus,0.99999535
Community College of Denver,0.999994
University of Alabama at Birmingham,0.99999166
Jackson State University,0.99998957
University of California-San Francisco,0.9999839
Mayo Clinic College of Medicine and Science,0.9999789
University of Indianapolis,0.99997807
University of Louisiana at Lafayette,0.9999695
Los Angeles City College,0.99994695
Hawaii Pacific University,0.99993765
Southern Arkansas University Main Campus,0.99993235
Mt San Antonio College,0.99991536
Chicago State University,0.9998998
"University of Maryland, Baltimore",0.9998971
University of Arkansas at Pine Bluff,0.99982953
