INSTNM,combined_pred
Orange Coast College,0.99997056
Indiana University-Northwest,0.99993443
Indiana University-Purdue University-Indianapolis,0.99992716
San Jose State University,0.32821074
College of Southern Idaho,0.0021249366
Pima Community College,0.0015345791
St Catherine University,0.0010197244
Central Lakes College-Brainerd,0.0009114246
Butte College,0.0008260991
California State University-Bakersfield,0.00082549127
Spring Hill College,0.00050009374
Saint Paul College,0.00033321488
Chaminade University of Honolulu,0.00032455823
Calvin University,0.0002558754
Point Loma Nazarene University,0.0002205429
Ventura College,0.00020609549
Oakwood University,0.00017566036
San Diego Miramar College,0.00014773762
University of West Alabama,0.00013043032
University of the District of Columbia,9.929518e-05
