INSTNM,combined_pred
Alabama A & M University,1.0
Wheaton College,1.0
Roosevelt University,1.0
McKendree University,1.0
Loyola University Chicago,1.0
Judson University,1.0
Illinois State University,1.0
Illinois Wesleyan University,1.0
University of Illinois Chicago,1.0
Elmhurst University,1.0
DePaul University,1.0
University of Chicago,1.0
Bradley University,1.0
Brigham Young University-Idaho,1.0
Boise State University,1.0
Savannah State University,1.0
Savannah College of Art and Design,1.0
Western Illinois University,1.0
Ball State University,1.0
Morehouse College,1.0
