INSTNM,combined_pred
The University of Tampa,1.0
Emory University,1.0
California State University-Northridge,1.0
California State University-Los Angeles,1.0
California State University-Long Beach,1.0
Emmanuel College,1.0
California State University-East Bay,1.0
Emory University,1.0
California State University-Fresno,1.0
University of Chicago,1.0
California State Polytechnic University-Pomona,1.0
Georgia Southern University,1.0
Georgia State University,1.0
Savannah College of Art and Design,1.0
Savannah State University,1.0
California Institute of Technology,1.0
California State University-Sacramento,1.0
University of California-Berkeley,1.0
University of California-Davis,1.0
University of California-Irvine,1.0
