INSTNM,combined_pred
Northern Arizona University,1.0
Grand Rapids Community College,1.0
Berklee College of Music,1.0
University of Delaware,1.0
University of California-Santa Barbara,1.0
Michigan State University,1.0
Vanguard University of Southern California,1.0
University of Florida,1.0
University of Colorado Denver/Anschutz Medical Campus,1.0
University of California-Irvine,1.0
California State University-Northridge,1.0
Indiana University-Purdue University-Indianapolis,1.0
Gallaudet University,1.0
Albany State University,1.0
Arizona State University Campus Immersion,1.0
California State University-Dominguez Hills,1.0
University of California-Berkeley,1.0
California State University-Chico,0.99999994
Metropolitan State University of Denver,0.99999994
College of the Sequoias,0.9999999
