INSTNM,combined_pred
Glendale Community College,1.0
University of Idaho,1.0
University of Illinois Chicago,1.0
Cypress College,1.0
Iowa State University,1.0
University of Iowa,1.0
Augustana College,1.0
Diablo Valley College,1.0
East Los Angeles College,1.0
El Camino Community College District,1.0
Idaho State University,1.0
Indiana State University,1.0
Leeward Community College,1.0
Hawaii Pacific University,1.0
University of Hawaii at Manoa,1.0
Baker University,1.0
Friends University,1.0
University of West Georgia,1.0
Franciscan School of Theology,1.0
University of Kansas,1.0
