INSTNM,combined_pred
Alabama A & M University,1.0
Azusa Pacific University,1.0
Baker University,1.0
California Baptist University,1.0
California Baptist University,1.0
Saint Xavier University,1.0
University of San Francisco,1.0
Central Christian College of Kansas,1.0
Coffeyville Community College,1.0
Biola University,1.0
Dodge City Community College,1.0
Friends University,1.0
Olivet Nazarene University,1.0
University of Kansas,1.0
McPherson College,1.0
Northern Illinois University,1.0
Thomas More University,1.0
Ottawa University-Ottawa,1.0
Pratt Community College,1.0
Tabor College,1.0
