INSTNM,combined_pred
Alabama A & M University,1.0
Brigham Young University-Idaho,1.0
American University,1.0
Illinois Wesleyan University,1.0
Elmhurst University,1.0
DePaul University,1.0
Bradley University,1.0
School of the Art Institute of Chicago,1.0
Boise State University,1.0
Georgia State University,1.0
University of Hawaii at Hilo,1.0
Young Harris College,1.0
Toccoa Falls College,1.0
Savannah State University,1.0
Savannah College of Art and Design,1.0
Oglethorpe University,1.0
Illinois State University,1.0
Loyola University Chicago,1.0
McKendree University,1.0
North Park University,1.0
