INSTNM,combined_pred
Alabama A & M University,1.0
University of California-Los Angeles,1.0
East Georgia State College,1.0
Embry-Riddle Aeronautical University-Prescott,1.0
Avila University,1.0
University of California-Davis,1.0
Tougaloo College,1.0
University of California-Berkeley,1.0
Clayton  State University,1.0
University of Mississippi,1.0
Colorado State University Pueblo,1.0
Mississippi Delta Community College,1.0
Dine College,1.0
Itawamba Community College,1.0
Moraine Valley Community College,1.0
North Central College,1.0
East Central Community College,1.0
Orange Coast College,1.0
Red Rocks Community College,1.0
Northern Illinois University,1.0
