INSTNM,combined_pred
Columbia College,1.0
Coastline Community College,1.0
Quinsigamond Community College,1.0
University of California-Santa Barbara,1.0
University of California-Santa Cruz,1.0
Southeastern University,1.0
University of South Florida,1.0
Chapman University,1.0
Iowa Central Community College,1.0
Coastline Community College,1.0
Iowa State University,1.0
Point University,1.0
University of Iowa,1.0
Cuesta College,1.0
Pensacola State College,1.0
El Camino Community College District,1.0
Nova Southeastern University,1.0
California State Polytechnic University-Humboldt,1.0
Irvine Valley College,1.0
University of La Verne,1.0
