INSTNM,combined_pred
Columbia College,1.0
Mid Michigan College,1.0
University of South Florida,1.0
Barton County Community College,1.0
Southeastern University,1.0
Lansing Community College,1.0
Ivy Tech Community College,1.0
Michigan State University,1.0
Point University,1.0
Clark Atlanta University,1.0
University of Michigan-Flint,1.0
University of Maryland Global Campus,1.0
MiraCosta College,1.0
University of California-San Diego,1.0
Georgia Institute of Technology-Main Campus,1.0
Oakland University,1.0
Georgia College & State University,1.0
Olivet College,1.0
DePauw University,1.0
Butler University,1.0
