INSTNM,combined_pred
Olney Central College,1.0
Irvine Valley College,1.0
University of California-San Francisco,1.0
The University of Tampa,1.0
Quinsigamond Community College,1.0
Southeastern University,1.0
Northern Essex Community College,1.0
University of California-Santa Barbara,1.0
University of California-Santa Cruz,1.0
Stetson University,1.0
University of South Florida,1.0
Graceland University-Lamoni,1.0
Chaffey College,1.0
Chapman University,1.0
Massachusetts Institute of Technology,1.0
Iowa State University,1.0
Compton College,1.0
University of Iowa,1.0
Harvard University,1.0
Harvard University,1.0
