INSTNM,combined_pred
San Diego State University,1.0
University of Illinois Urbana-Champaign,1.0
University of Southern California,1.0
University of Minnesota-Twin Cities,1.0
University of Arizona,1.0
Loma Linda University,1.0
Colorado College,1.0
University of Maryland Global Campus,1.0
California State Polytechnic University-Humboldt,1.0
Georgia Institute of Technology-Main Campus,1.0
Pima Community College,1.0
Olivet College,1.0
Oakland University,1.0
Michigan State University,1.0
Lansing Community College,1.0
Yale University,1.0
University of Delaware,1.0
University of California-San Diego,1.0
University of Iowa,1.0
University of California-Los Angeles,1.0
