INSTNM,combined_pred
Alabama A & M University,1.0
Indiana State University,1.0
University of Hawaii at Manoa,1.0
Morehouse School of Medicine,1.0
Mercer University,1.0
University of Georgia,1.0
Georgia Institute of Technology-Main Campus,1.0
Emory University,1.0
Augusta Technical College,1.0
Clark Atlanta University,1.0
Southeastern University,1.0
University of South Florida,1.0
Rollins College,1.0
Nova Southeastern University,1.0
University of North Florida,1.0
University of Miami,1.0
University of Florida,1.0
University of Florida,1.0
Florida State University,1.0
University of Idaho,1.0
