INSTNM,combined_pred
University of California-Davis,1.0
Quinsigamond Community College,1.0
University of California-Berkeley,1.0
University of California-Davis,1.0
Colorado School of Mines,1.0
University of California-Irvine,1.0
University of California-Los Angeles,1.0
University of California-San Diego,1.0
University of California-San Francisco,1.0
Smith College,1.0
University of California-Santa Barbara,1.0
Lansing Community College,1.0
Palm Beach Atlantic University,1.0
Nova Southeastern University,1.0
Chapman University,1.0
Merrimack College,1.0
Graceland University-Lamoni,1.0
Massachusetts Institute of Technology,1.0
University of Massachusetts-Amherst,1.0
Compton College,1.0
