INSTNM,combined_pred
Alabama A & M University,0.0
Indiana University-Kokomo,0.0
Kirkwood Community College,0.0
Kirkwood Community College,0.0
Luther College,0.0
Maharishi International University,0.0
Marshalltown Community College,0.0
Morningside University,0.0
Mount Mercy University,0.0
University of Northern Iowa,0.0
Saint Ambrose University,0.0
St Luke's College,0.0
Simpson College,0.0
Southeastern Community College,0.0
Wartburg College,0.0
Western Iowa Tech Community College,0.0
Western Iowa Tech Community College,0.0
William Penn University,0.0
Allen County Community College,0.0
Barton County Community College,0.0
