INSTNM,combined_pred
Alabama A & M University,1.0
American University,1.0
University of Maine,1.0
San Jose State University,1.0
College of the Atlantic,1.0
Xavier University of Louisiana,1.0
Tulane University of Louisiana,1.0
Louisiana Tech University,1.0
Louisiana State University and Agricultural & Mechanical College,1.0
University of Southern California,1.0
University of Southern California,1.0
Western Kentucky University,1.0
Transylvania University,1.0
Colorado College,1.0
Northern Kentucky University,1.0
Murray State University,1.0
Colorado School of Mines,1.0
Colorado State University-Fort Collins,1.0
University of Denver,1.0
University of Louisville,1.0
