INSTNM,combined_pred
Columbia College,1.0
Coastline Community College,1.0
University of California-San Francisco,1.0
Georgia College & State University,1.0
University of California-Santa Barbara,1.0
University of California-Santa Cruz,1.0
Georgia Institute of Technology-Main Campus,1.0
Springfield College,1.0
Chaffey College,1.0
Chapman University,1.0
Claremont McKenna College,1.0
Quinsigamond Community College,1.0
Loma Linda University,1.0
Western University of Health Sciences,1.0
Columbus Technical College,1.0
Iowa State University,1.0
University of Iowa,1.0
Diablo Valley College,1.0
Southeastern University,1.0
El Camino Community College District,1.0
