INSTNM,combined_pred
Alabama A & M University,1.0
Arkansas Baptist College,1.0
Aims Community College,1.0
Campbellsville University,1.0
Kentucky State University,1.0
San Jose State University,1.0
Xavier University of Louisiana,1.0
Colby College,1.0
College of the Redwoods,1.0
University of Maine at Augusta,1.0
Pitzer College,1.0
Pepperdine University,1.0
Bowie State University,1.0
Morgan State University,1.0
Towson University,1.0
Bunker Hill Community College,1.0
Claremont McKenna College,1.0
Chapman University,1.0
University of California-Santa Cruz,1.0
Massachusetts Institute of Technology,1.0
