INSTNM,combined_pred
Alabama A & M University,1.0
Central Michigan University,1.0
Allan Hancock College,1.0
Ferris State University,1.0
Morgan State University,1.0
Wartburg College,1.0
Allen County Community College,1.0
The University of Tampa,1.0
University of Michigan-Ann Arbor,1.0
Andrew College,1.0
Michigan Technological University,1.0
Johns Hopkins University,1.0
Mid Michigan College,1.0
Arkansas State University,1.0
Franklin College,1.0
Northern Michigan University,1.0
Georgia Institute of Technology-Main Campus,1.0
DePauw University,1.0
Georgia College & State University,1.0
Butler University,1.0
