INSTNM,combined_pred
Alabama A & M University,1.0
Coastal Alabama Community College,1.0
Quinnipiac University,1.0
Highland Community College,1.0
Georgia College & State University,1.0
Florida Institute of Technology,1.0
University of Louisville,1.0
AdventHealth University,1.0
Quinsigamond Community College,1.0
Faulkner University,1.0
University of Miami,1.0
Fort Hays State University,1.0
Compton College,1.0
Embry-Riddle Aeronautical University-Daytona Beach,1.0
College of the Redwoods,1.0
The University of Alabama,1.0
Barton County Community College,0.0
Luther College,0.0
Maharishi International University,0.0
Marshalltown Community College,0.0
