INSTNM,combined_pred
Alabama A & M University,1.0
Southern Illinois University-Carbondale,1.0
University of California-San Diego,1.0
University of California-Los Angeles,1.0
University of California-Davis,1.0
University of California-Berkeley,1.0
Dordt University,1.0
University of Central Florida,1.0
California State University-Fresno,1.0
University of Central Florida,1.0
Florida Institute of Technology,1.0
Adrian College,1.0
Florida State University,1.0
Indiana University-Bloomington,1.0
Indiana State University,1.0
University of Arkansas-Fort Smith,1.0
Indiana University-Purdue University-Indianapolis,1.0
Nova Southeastern University,1.0
Lansing Community College,1.0
University of Michigan-Ann Arbor,1.0
