INSTNM,combined_pred
Tulane University of Louisiana,1.0
University of Michigan-Ann Arbor,1.0
Indiana State University,1.0
Eastern Michigan University,1.0
Ferris State University,1.0
Grand Valley State University,1.0
Grand Valley State University,1.0
William Penn University,1.0
American University,1.0
Southeastern University,1.0
The University of Tampa,1.0
The University of West Florida,1.0
Michigan State University,1.0
Bakersfield College,1.0
Point University,1.0
Yale University,1.0
Emory University,1.0
University of Maryland Eastern Shore,1.0
Georgia College & State University,1.0
Ivy Tech Community College,1.0
