INSTNM,combined_pred
Alabama A & M University,1.0
North Central College,1.0
Georgia Southern University,1.0
Georgia State University,1.0
College of Marin,1.0
College of Marin,1.0
Gwinnett Technical College,1.0
MiraCosta College,1.0
University of West Georgia,1.0
Central Michigan University,1.0
Wesleyan College,1.0
Mission College,1.0
Valdosta State University,1.0
South Georgia Technical College,1.0
Savannah College of Art and Design,1.0
Monterey Peninsula College,1.0
Reinhardt University,1.0
Piedmont University,1.0
Mt San Antonio College,1.0
Central Michigan University,1.0
