INSTNM,combined_pred
Alabama A & M University,1.0
Central Lakes College-Brainerd,1.0
South Florida State College,1.0
Jackson College,1.0
University of South Florida,1.0
Michigan Technological University,1.0
Citrus College,1.0
University of South Florida,1.0
Northern Michigan University,1.0
Chabot College,1.0
Northwestern Michigan College,1.0
Valencia College,1.0
Cerritos College,1.0
Oakland University,1.0
Abraham Baldwin Agricultural College,1.0
Albany State University,1.0
Saginaw Valley State University,1.0
California State University Maritime Academy,1.0
Albany State University,1.0
University of California-Santa Barbara,1.0
