INSTNM,combined_pred
Alabama A & M University,1.0
Clark Atlanta University,1.0
University of Michigan-Dearborn,1.0
College of Coastal Georgia,1.0
Western University of Health Sciences,1.0
Berry College,1.0
Contra Costa College,1.0
The University of West Florida,1.0
Orange Technical College-Westside Campus,1.0
Albany State University,1.0
Savannah State University,1.0
De Anza College,1.0
Albany State University,1.0
Abraham Baldwin Agricultural College,1.0
Diablo Valley College,1.0
Jackson College,1.0
Webber International University,1.0
East Los Angeles College,1.0
University of Michigan-Flint,1.0
Columbus State University,1.0
