INSTNM,combined_pred
Alabama A & M University,1.0
Vanguard University of Southern California,1.0
University of Southern California,1.0
Taft College,1.0
UEI College-Huntington Park,1.0
Concorde Career College-North Hollywood,1.0
Morehead State University,1.0
West Los Angeles College,1.0
Madisonville Community College,1.0
University of Kentucky,1.0
Kentucky Wesleyan College,1.0
Adams State University,1.0
University of Colorado Denver/Anschutz Medical Campus,1.0
University of Colorado Denver/Anschutz Medical Campus,1.0
University of Colorado Boulder,1.0
Southwestern College,1.0
Concorde Career College-Aurora,1.0
University of the Cumberlands,1.0
Colorado State University-Fort Collins,1.0
Campbellsville University,1.0
