INSTNM,combined_pred
Alabama A & M University,1.0
School of the Art Institute of Chicago,1.0
Cabrillo College,1.0
Cabrillo College,1.0
GateWay Community College,1.0
Grand Canyon University,1.0
Butte College,1.0
University of South Florida,1.0
Central Lakes College-Brainerd,1.0
The College of Idaho,1.0
Idaho State University,1.0
Tulane University of Louisiana,1.0
University of Louisville,1.0
University of Louisville,1.0
Georgia College & State University,1.0
Sierra College,1.0
"University of Maryland, Baltimore",1.0
University of Maryland-Baltimore County,1.0
Henderson State University,1.0
Bentley University,1.0
