INSTNM,combined_pred
Alabama A & M University,1.0
Delaware Technical Community College-Terry,1.0
Gallaudet University,1.0
University of the District of Columbia,1.0
University of the District of Columbia,1.0
University of the District of Columbia,1.0
Southern University and A & M College,1.0
American University,1.0
Tulane University of Louisiana,1.0
Wilmington University,1.0
Tulane University of Louisiana,1.0
Tulane University of Louisiana,1.0
Wilmington University,1.0
Colby College,1.0
Kennebec Valley Community College,1.0
University of Maine at Augusta,1.0
University of Delaware,1.0
Delaware State University,1.0
University of Maine at Presque Isle,1.0
Delaware State University,1.0
