INSTNM,combined_pred
Alabama A & M University,1.0
Madonna University,1.0
Cosumnes River College,1.0
Michigan Technological University,1.0
Bellarmine University,1.0
City Colleges of Chicago-Harry S Truman College,1.0
Michigan State University,1.0
Colorado Mesa University,1.0
Cypress College,1.0
Jacksonville University,1.0
Berea College,1.0
College of the Desert,1.0
University of Michigan-Flint,1.0
Lawrence Technological University,1.0
University of South Florida,1.0
Front Range Community College,1.0
Front Range Community College,1.0
Moody Bible Institute,1.0
Diablo Valley College,1.0
Dominican University of California,1.0
