INSTNM,combined_pred
Metropolitan State University of Denver,1.0
Hawaii Pacific University,1.0
University of Arizona,1.0
University of Colorado Denver/Anschutz Medical Campus,1.0
Mayo Clinic College of Medicine and Science,1.0
Southern Arkansas University Main Campus,1.0
Chicago State University,1.0
University of Louisiana at Lafayette,1.0
"University of Maryland, Baltimore",1.0
Community College of Denver,1.0
Johns Hopkins University,1.0
Jackson State University,1.0
University of California-San Francisco,1.0
Full Sail University,1.0
Los Angeles City College,1.0
Mt San Antonio College,1.0
Grambling State University,1.0
Indiana University-Purdue University-Indianapolis,1.0
University of Alabama at Birmingham,1.0
University of Indianapolis,1.0
