INSTNM,combined_pred
Alabama A & M University,0.0
University of Hawaii at Hilo,0.0
Hawaii Institute of Hair Design,0.0
Honolulu Community College,0.0
Kapiolani Community College,0.0
University of Hawaii Maui College,0.0
University of Hawaii Maui College,0.0
Windward Community College,0.0
Carrington College-Boise,0.0
Boise Bible College,0.0
Boise State University,0.0
Boise State University,0.0
Boise State University,0.0
College of Eastern Idaho,0.0
University of Idaho,0.0
University of Idaho,0.0
University of Idaho,0.0
Lewis-Clark State College,0.0
Lewis-Clark State College,0.0
North Idaho College,0.0
