INSTNM,combined_pred
Alabama A & M University,1.0
University of Bridgeport,1.0
University of Kansas,1.0
Pikes Peak State College,1.0
University of Kansas,1.0
Regis University,1.0
Hesston College,1.0
Fort Scott Community College,1.0
Colorado State University Pueblo,1.0
Friends University,1.0
Fort Hays State University,1.0
Trinidad State College,1.0
Cowley County Community College,1.0
Western Colorado University,1.0
Albertus Magnus College,1.0
Central Connecticut State University,1.0
Northeastern Junior College,1.0
Cloud County Community College,1.0
Connecticut College,1.0
Central Christian College of Kansas,1.0
