INSTNM,combined_pred
Loras College,1.0
Hinds Community College,1.0
Colby College,1.0
Towson University,1.0
Florida State College at Jacksonville,1.0
Alcorn State University,1.0
St. Mary's College of Maryland,1.0
Xavier University of Louisiana,1.0
Tulane University of Louisiana,1.0
Valdosta State University,1.0
University of West Georgia,1.0
Southern University and A & M College,1.0
University of Hawaii at Manoa,1.0
Piedmont University,1.0
Hawaii Pacific University,1.0
Florida Atlantic University,1.0
University of Mississippi,1.0
University of Mississippi,1.0
University of Maryland Eastern Shore,1.0
University of Maryland-College Park,1.0
