INSTNM,combined_pred
California State University-Northridge,1.0
Pacific Union College,1.0
University of Dubuque,1.0
Siena Heights University,1.0
San Diego Christian College,1.0
University of Colorado Denver/Anschutz Medical Campus,1.0
University of Florida,1.0
Berklee College of Music,1.0
Northern Illinois University,1.0
Millikin University,1.0
Lewis University,1.0
University of Alaska Anchorage,1.0
Dominican University of California,1.0
Pueblo Community College,1.0
Michigan State University,1.0
Central Connecticut State University,1.0
College of the Sequoias,1.0
University of Central Florida,1.0
Arizona State University Campus Immersion,1.0
Otis College of Art and Design,1.0
