INSTNM,combined_pred
Alabama A & M University,1.0
Stetson University,1.0
Albany State University,1.0
Albany State University,1.0
Valencia College,1.0
Southeastern University,1.0
Southeastern University,1.0
Southeastern University,1.0
Stetson University,1.0
University of South Florida,1.0
University of Miami,1.0
South Florida State College,1.0
Pensacola State College,1.0
Palm Beach State College,1.0
Palm Beach Atlantic University,1.0
Nova Southeastern University,1.0
Nova Southeastern University,1.0
University of North Florida,1.0
Clark Atlanta University,1.0
Berry College,1.0
