INSTNM,combined_pred
Alabama A & M University,1.0
Fort Hays State University,1.0
Cloud County Community College,1.0
Coffeyville Community College,1.0
Post University,1.0
Colby Community College,1.0
Cowley County Community College,1.0
Dodge City Community College,1.0
University of New Haven,1.0
Central Christian College of Kansas,1.0
Friends University,1.0
Fort Scott Community College,1.0
Mitchell College,1.0
Hesston College,1.0
Housatonic Community College,1.0
University of Hartford,1.0
Quinnipiac University,1.0
Sacred Heart University,1.0
Fresno Pacific University,1.0
Western Connecticut State University,1.0
