INSTNM,combined_pred
Alabama A & M University,1.0
Central Connecticut State University,1.0
Eastern Connecticut State University,1.0
McPherson College,1.0
MidAmerica Nazarene University,1.0
University of Connecticut,1.0
Connecticut College,1.0
Ottawa University-Ottawa,1.0
University of Bridgeport,1.0
Tabor College,1.0
Pratt Community College,1.0
University of Saint Mary,1.0
Albertus Magnus College,1.0
Western Colorado University,1.0
Salina Area Technical College,1.0
Trinidad State College,1.0
Fairfield University,1.0
University of Hartford,1.0
Housatonic Community College,1.0
University of Kansas,1.0
