INSTNM,combined_pred
Alabama A & M University,1.0
University of California-Santa Barbara,1.0
University of South Florida,1.0
Kettering University,1.0
Ferris State University,1.0
College for Creative Studies,1.0
The University of West Florida,1.0
Andrew College,1.0
Point University,1.0
Franciscan School of Theology,1.0
Brewton-Parker College,1.0
Pensacola State College,1.0
Central Michigan University,1.0
Baker College,1.0
Clayton  State University,1.0
Alma College,1.0
Columbus State University,1.0
Southeastern University,1.0
Columbia College,1.0
Jackson College,1.0
