INSTNM,combined_pred
Alabama A & M University,1.0
Colorado School of Mines,1.0
Community College of Denver,1.0
University of Kansas,1.0
University of Kansas,1.0
University of Denver,1.0
Fort Lewis College,1.0
Front Range Community College,1.0
Colorado Mesa University,1.0
Metropolitan State University of Denver,1.0
Fort Scott Community College,1.0
Fort Hays State University,1.0
University of Northern Colorado,1.0
Dodge City Community College,1.0
Pikes Peak State College,1.0
Central Christian College of Kansas,1.0
Regis University,1.0
Colorado State University Pueblo,1.0
Western Iowa Tech Community College,1.0
Western Colorado University,1.0
