INSTNM,combined_pred
Alabama A & M University,1.0
Louisiana State University and Agricultural & Mechanical College,1.0
Santa Barbara City College,1.0
Santa Clara University,1.0
Santa Rosa Junior College,1.0
Santa Rosa Junior College,1.0
College of the Sequoias,1.0
Northwestern State University of Louisiana,1.0
Shasta College,1.0
University of Louisiana at Monroe,1.0
University of New Orleans,1.0
Simpson University,1.0
Louisiana State University-Eunice,1.0
Skyline College,1.0
Arapahoe Community College,1.0
Louisiana State University Health Sciences Center-New Orleans,1.0
Dillard University,1.0
Sonoma State University,1.0
Southwestern College,1.0
Marshall B Ketchum University,1.0
