INSTNM,combined_pred
Alabama A & M University,1.0
Reinhardt University,1.0
Boston University,1.0
Bentley University,1.0
Valdosta State University,1.0
Pacific Union College,1.0
University of the Pacific,1.0
Babson College,1.0
Palomar College,1.0
Spelman College,1.0
Amherst College,1.0
Pasadena City College,1.0
Stevenson University,1.0
Pepperdine University,1.0
Savannah College of Art and Design,1.0
Pitzer College,1.0
College of Coastal Georgia,1.0
Point Loma Nazarene University,1.0
Prince George's Community College,1.0
Piedmont University,1.0
