INSTNM,combined_pred
Ball State University,1.0
Saint Xavier University,1.0
University of Minnesota-Duluth,1.0
Indiana University-Bloomington,1.0
Aims Community College,1.0
University of Florida,1.0
Michigan Technological University,1.0
Southeastern University,1.0
University of Arizona,1.0
Colorado College,1.0
Kansas State University,1.0
Grand Canyon University,1.0
Mid Michigan College,1.0
Colorado School of Mines,1.0
Allan Hancock College,1.0
Purdue University Fort Wayne,1.0
Palomar College,1.0
Indiana University-Purdue University-Indianapolis,1.0
Eastern Michigan University,1.0
Loma Linda University,1.0
