INSTNM,combined_pred
University of Iowa,1.0
University of Arizona,1.0
Orange Coast College,1.0
Wayne State University,1.0
Western Michigan University,1.0
Bethesda University,1.0
Compton College,1.0
Pitzer College,1.0
California College of the Arts,1.0
Nova Southeastern University,1.0
Chesapeake College,1.0
College of the Redwoods,1.0
Harvard University,1.0
University of Central Florida,1.0
University of Central Florida,1.0
University of the District of Columbia,1.0
University of Minnesota-Twin Cities,1.0
University of Maryland Global Campus,1.0
Howard University,1.0
American River College,1.0
