INSTNM,combined_pred
Columbia College,1.0
Western University of Health Sciences,1.0
El Camino Community College District,1.0
Irvine Valley College,1.0
La Sierra University,1.0
Loma Linda University,1.0
Harvard University,1.0
Loyola Marymount University,1.0
Emerson College,1.0
Orange Coast College,1.0
Otis College of Art and Design,1.0
Pitzer College,1.0
Towson University,1.0
College of the Redwoods,1.0
University of Maryland-College Park,1.0
University of Maryland Global Campus,1.0
San Diego State University,1.0
University of San Diego,1.0
San Jose State University,1.0
Scripps College,1.0
