INSTNM,combined_pred
San Diego State University,1.0
California State University-Chico,1.0
California State University-Los Angeles,1.0
California State University-Sacramento,1.0
University of California-Berkeley,1.0
University of California-Davis,1.0
Worcester Polytechnic Institute,1.0
University of California-Los Angeles,1.0
University of California-San Diego,1.0
University of California-San Francisco,1.0
University of California-San Francisco,1.0
University of California-Santa Barbara,1.0
Springfield College,1.0
Northeastern University,1.0
Iowa State University,1.0
University of Iowa,1.0
University of Florida,1.0
California State University-Long Beach,1.0
California State University-Stanislaus,1.0
University of Massachusetts-Amherst,1.0
