INSTNM,combined_pred
Alabama A & M University,1.0
The University of West Florida,1.0
Fort Valley State University,1.0
Emmanuel College,1.0
Columbus State University,1.0
Columbus State University,1.0
Clayton  State University,1.0
Maine College of Art & Design,1.0
Albany State University,1.0
Albany State University,1.0
Abraham Baldwin Agricultural College,1.0
The University of Tampa,1.0
Georgia Southern University,1.0
Southeastern University,1.0
St. Thomas University,1.0
Frostburg State University,1.0
University of South Florida,1.0
University of Maryland-Baltimore County,1.0
Nova Southeastern University,1.0
University of North Florida,1.0
