INSTNM,combined_pred
Colorado School of Mines,1.0
California State University-Long Beach,1.0
Wichita State University,1.0
Saginaw Valley State University,1.0
Washburn University,1.0
Upper Iowa University,1.0
Valdosta State University,1.0
Colorado State University Pueblo,1.0
University of West Georgia,1.0
Lake Forest College,1.0
Northwestern Michigan College,1.0
Northern Michigan University,1.0
Abraham Baldwin Agricultural College,1.0
University of Pikeville,1.0
Illinois State University,1.0
Michigan Technological University,1.0
Michigan State University,1.0
University of Michigan-Ann Arbor,1.0
Allen County Community College,1.0
Albany State University,1.0
