INSTNM,combined_pred
Alabama A & M University,1.0
Dillard University,1.0
California State University-Long Beach,1.0
Clayton  State University,1.0
Olivet College,1.0
California State University-Sacramento,1.0
University of California-Berkeley,1.0
Grambling State University,1.0
Northwood University,1.0
University of California-Irvine,1.0
University of California-Los Angeles,1.0
University of California-Riverside,1.0
Illinois State University,1.0
Bridgewater State University,1.0
Northern Michigan University,1.0
University of California-Santa Barbara,1.0
University of California-Santa Cruz,1.0
University of Hartford,1.0
Columbus State University,1.0
Curry College,1.0
