INSTNM,combined_pred
Bridgewater State University,1.0
Babson College,1.0
University of Maryland Eastern Shore,1.0
Morgan State University,1.0
Hillsborough Community College,1.0
Mount St. Mary's University,1.0
Salisbury University,1.0
St. Mary's College of Maryland,1.0
Towson University,1.0
Stevenson University,1.0
Hult International Business School,1.0
American International College,1.0
University of Florida,1.0
Albion College,1.0
Florida State University,1.0
Florida Southern College,1.0
Florida Memorial University,1.0
The College of the Florida Keys,1.0
Bentley University,1.0
Florida International University,1.0
