INSTNM,combined_pred
Yale University,1.0
University of Massachusetts-Amherst,1.0
San Diego State University,1.0
Stonehill College,1.0
San Francisco State University,1.0
University of Massachusetts-Dartmouth,1.0
Smith College,1.0
Northeastern University,1.0
University of Southern California,1.0
Massachusetts Maritime Academy,1.0
University of Massachusetts-Lowell,1.0
Wentworth Institute of Technology,1.0
University of Colorado Boulder,1.0
Colorado State University-Fort Collins,1.0
University of Denver,1.0
University of Northern Colorado,1.0
Regis University,1.0
Western Colorado University,1.0
Boston University,1.0
Connecticut College,1.0
