INSTNM,combined_pred
Alabama A & M University,1.0
LaGrange College,1.0
Fisher College,1.0
Boise State University,1.0
Idaho State University,1.0
University of Idaho,1.0
The College of Idaho,1.0
Lewis-Clark State College,1.0
Brigham Young University-Idaho,1.0
College of Southern Idaho,1.0
Augustana College,1.0
Dean College,1.0
Curry College,1.0
Clark University,1.0
Brandeis University,1.0
Bradley University,1.0
Boston University,1.0
Framingham State University,1.0
University of Hawaii at Manoa,1.0
University of West Georgia,1.0
