INSTNM,combined_pred
Alabama A & M University,1.0
Brandeis University,1.0
Savannah State University,1.0
Babson College,1.0
Assumption University,1.0
Anna Maria College,1.0
Toccoa Falls College,1.0
Amherst College,1.0
Valdosta State University,1.0
University of West Georgia,1.0
Young Harris College,1.0
Hult International Business School,1.0
University of Hawaii at Hilo,1.0
University of Hawaii at Manoa,1.0
Hawaii Pacific University,1.0
McDaniel College,1.0
Washington College,1.0
Savannah College of Art and Design,1.0
Reinhardt University,1.0
Piedmont University,1.0
