INSTNM,combined_pred
Alabama A & M University,0.0
Frontier Nursing University,0.0
Alice Lloyd College,0.0
Asbury University,0.0
Asbury Theological Seminary,0.0
Bellarmine University,0.0
Berea College,0.0
Brescia University,0.0
Campbellsville University,0.0
Campbellsville University,0.0
Bluegrass Community and Technical College,0.0
Centre College,0.0
Clear Creek Baptist Bible College,0.0
University of the Cumberlands,0.0
Eastern Kentucky University,0.0
Georgetown College,0.0
Morehead State University,0.0
Kentucky Mountain Bible College,0.0
Kentucky State University,0.0
Kentucky Wesleyan College,0.0
