INSTNM,combined_pred
Alabama A & M University,1.0
University of Chicago,1.0
Concordia University-Chicago,1.0
DePaul University,1.0
DePaul University,1.0
Endicott College,1.0
Eastern Illinois University,1.0
Elmhurst University,1.0
Emmanuel College,1.0
Governors State University,1.0
Emerson College,1.0
Eastern Nazarene College,1.0
Dean College,1.0
University of Illinois Chicago,1.0
Curry College,1.0
Benedictine University,1.0
Clark University,1.0
Bridgewater State University,1.0
University of Illinois Urbana-Champaign,1.0
Columbia College Chicago,1.0
